panel,target_key,stage,gene,n_null,observed_residual_variance,nb_null_median,nb_null_q95,observed_exceeds_nb_q95,fraction_observed_variance_above_nb_median,plotted_value,observed_moran_i,annotation,n_records,fraction_above_q95
S6j,75p_E2_to_E1,75% epiboly,apoc1,500.0,,0.010830978,0.01640674294903874,True,,25.501995461547306,0.4184046842251592,,,
S6j,75p_E2_to_E1,75% epiboly,arf5,500.0,,0.002660212,0.0072116802679374785,True,,20.383751495451147,0.14700109844628612,,,
S6j,75p_E2_to_E1,75% epiboly,arhgap5,500.0,,0.004135606,0.009070825111120938,True,,8.936890810047709,0.0810649735751267,,,
S6j,75p_E2_to_E1,75% epiboly,arl4aa,500.0,,0.008534515,0.013797667250037194,True,,10.328041813246404,0.14250288428364466,,,
S6j,75p_E2_to_E1,75% epiboly,arl4ab,500.0,,0.0054194243000000005,0.010495979199185969,True,,19.32840390036892,0.2028705252917371,,,
S6j,75p_E2_to_E1,75% epiboly,arl4d,500.0,,0.0026199070000000003,0.007742604799568652,True,,22.80023321800811,0.1765331951450342,,,
S6j,75p_E2_to_E1,75% epiboly,arl6ip5a,500.0,,0.009558786,0.015234480146318669,True,,11.294510023539488,0.17206598871600953,,,
S6j,75p_E2_to_E1,75% epiboly,aspm,500.0,,0.003957092,0.008624309953302144,True,,13.05357729769068,0.11257809661467263,,,
S6j,75p_E2_to_E1,75% epiboly,atf6,500.0,,0.0021585794,0.0069808701518922975,True,,19.047649134416545,0.13296916530616562,,,
S6j,75p_E2_to_E1,75% epiboly,atoh1c,500.0,,0.010673106000000002,0.017264766991138453,True,,9.5456945769447,0.1648041926395242,,,
S6j,75p_E2_to_E1,75% epiboly,atp2b1a,500.0,,0.00065438985,0.00524435616098344,True,,35.640552822396245,0.18691175277498945,,,
S6j,75p_E2_to_E1,75% epiboly,atrxl,500.0,,0.0026300728999999997,0.008362319087609649,True,,13.63166222177351,0.11399230919298398,,,
S6j,75p_E2_to_E1,75% epiboly,aurkb,500.0,,0.003113431,0.008166892919689412,True,,14.991244294094303,0.12243188688277305,,,
S6j,75p_E2_to_E1,75% epiboly,axin2,500.0,,0.003122065,0.008043001359328627,True,,23.622482526095574,0.18999565906810345,,,
S6j,75p_E2_to_E1,75% epiboly,bach1b,500.0,,0.009962697,0.015830340422689913,True,,8.685464989570207,0.13749386751425127,,,
S6j,75p_E2_to_E1,75% epiboly,baz1b,500.0,,0.0032476624,0.008245508931577205,True,,15.93223368171468,0.13136937512255356,,,
S6j,75p_E2_to_E1,75% epiboly,bcl2l1,500.0,,0.0016982595,0.0068392971297726035,True,,17.991619449004332,0.12305003125753627,,,
S6j,75p_E2_to_E1,75% epiboly,bhlha15,500.0,,0.006248961999999999,0.011323916306719185,True,,13.093060988946013,0.14826472683759456,,,
S6j,75p_E2_to_E1,75% epiboly,blf,500.0,,0.008566888,0.014169391943141816,True,,13.72027417174698,0.1944079423068484,,,
S6j,75p_E2_to_E1,75% epiboly,bmp7a,500.0,,0.0039164424,0.009380789194256068,True,,30.167467445243478,0.2829946526284117,,,
