record_type	fold	train_embryo	test_embryo	cohort	method	method_label	gene	genes	cells	ancestor_families	descendant_cells	rho_future_pooled_frozen_raw	rho_future_pooled	future_residual_status	rho_future_macro	rho_future_median	final_pearson_macro	final_spearman_macro	rmse	normalized_rmse	moran_error	domain_gene_count	median_domain_dice	family_bootstrap_estimate	family_bootstrap_ci95_low	family_bootstrap_ci95_high	bootstrap_unit	family_bootstrap_replicates	trajectory_free_gene_rho	trajectory_aware_gene_rho	trajectory_delta_future_residual_pearson	trajectory_improved	evaluation_unit	confirmatory_non_anchor
method_summary	B	E2	E1	full	B5_trajectory_free_map_t	Trajectory-free temporal residual model		479.0	6807.0	3907.0	6807.0	0.4962461194770954	0.4962461194770954	defined	0.12592332065105438	0.13990822434425354	0.1079934388399124	0.10044426173351947	0.9753140807151794	0.656217098236084	0.1170755839377047	99.0	0.2608695652173913	0.4962148801662824	0.4904909287560775	0.5021756726549089	TM0_ancestor_family	2000.0					directional_target_embryo	True
method_summary	B	E2	E1	full	B6_trajectory_aware_map_t	Full trajectory-aware HyperSpatial-MAP-T		479.0	6807.0	3907.0	6807.0	0.6196155894705728	0.6196155894705728	defined	0.27185434103012085	0.23692722618579865	0.2322239577770233	0.2258201334268128	0.8689002990722656	0.5846190452575684	0.15651539784647825	99.0	0.44	0.6195786688841689	0.6163666966339972	0.6229045143741817	TM0_ancestor_family	2000.0					directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			ackr3b																						0.011459032	0.17892751	0.167468478	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			acvr1ba																						0.19410054	0.18313839	-0.010962149999999976	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			add3b																						0.22206123	0.3177472	0.09568597000000001	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			adka																						0.21598595	0.27922812	0.06324217000000001	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			admp																						-0.5592636	-0.36813602	0.19112757999999996	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			ahi1																						-0.17075491	0.041204132000000004	0.21195904200000001	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			akap12b																						-0.09088078	-0.075420275	0.015460505	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			alcamb																						0.24320255	0.49480015	0.2515976	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			aldob																						-0.09528998	0.3317417	0.42703167999999997	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			anp32e																						0.3199739	0.23183617	-0.08813772999999997	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			apex1																						-0.05374144	-0.008161087	0.045580353000000004	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			aplnra																						0.29015866	0.38191015	0.09175148999999999	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			aplnrb																						-0.01762961	0.028721372000000002	0.046350982	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			apoc1																						-0.35050207	0.5518098000000001	0.9023118700000001	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			arf5																						0.24042228	0.24049175	6.947000000001591e-05	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			arhgap5																						0.03522594	0.13812797	0.10290202999999999	True	gene_within_directional_target_embryo	True
